id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
122428#14828741;0x6839655afdb6446a34b92be8bda7e4c3b9c88b37;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;15367.4883;27634.8953;14426.1097;122428;0;0;7.015610790099613129;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3275847529046203.0;0.0;7.0156;14426.1097;1653297777;30462.8325;2063.0487;27536.8049;15421.2744;14473.5467;0.0115;0.1555;-53.7862;-995.1648;-947.7277;22460208.0;-0.0361;-0.069;-12267.4071;-0.4439;-995.1648;-0.036;-0.0956;1.0;0.5256;-0.3099;-0.3099;-0.0956;-0.0037;941.3786;12.6654;0.079;12.8183;0.078
122967#14984461;0x3097304db78c109b6900e31250976505fd25dbf0;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;21206.2154;57908.6193;17398.9269;122967;0;0;17.371945497368104858;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;156542743934121.0;0.0;17.3719;17398.9269;1655547770;19381.295;1006.5237;57782.8317;19526.7838;17485.2749;0.0459;0.6755;1679.4316;-2127.8569;-2041.5089;23557235.149;-0.0368;-0.1223;-36702.4039;-0.6338;-2127.8569;-0.0367;-0.1603;1.0;0.3026;-0.497;-0.497;-0.1603;0.0965;3807.2885;9.6108;0.104;17.7228;0.0564
123084#15940433;0xd9c1bee8b7845f6d7bce9ff76035167475a66792;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;4505.5008;11683.8487;3974.4787;123084;0;0.10897663;1.528501766281594139;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;28268140152324.0;0.109;1.5285;3974.4787;1668093155;17536.8577;1315.5495;11683.8488;3922.5605;3921.9274;0.0145;0.2059;582.94;51.9181;-0.6332;37135216.0;0.0044;0.0131;-7178.3479;-0.6144;51.9181;0.0044;0.0111;1.0;0.3357;-0.4549;-0.4549;0.0111;0.1467;531.0219;9.6686;0.1034;18.0447;0.0554
12340#12413906;0xe34bb624055b171d777eccbbfc3baaeeffbe432c;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;2676440.6112;2640746.1765;2674139.7134;12340;0;29.58931867;252.964284552546490373;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.965132270193332e+16;29.5893;252.9643;2674139.7134;1620746976;56049.1845;3998.3;2668387.2355;2670218.7854;2669884.2803;0.0238;0.2404;6221.8257;3920.9279;-334.5051;22024.0;0.0015;0.0015;35694.4346;0.0135;3920.9279;0.0015;7.1612;1.0;1.0006;-0.0;-0.0;7.1612;0.0023;2300.8978;13.0511;0.0766;15.7188;0.0636
123455#15283052;0xb959aed974b87acdaba49c2e155738d54951e64c;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;8959.324;17193.8897;8457.0424;123455;0;0.18130728;2.525318540742624252;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;23108821631597.0;0.1813;2.5253;8457.0424;1659712039;22988.5653;1675.3548;17243.243;8399.0729;8398.7988;0.0103;0.156;560.2511;57.9695;-0.2741;28682104.0;0.0034;0.0069;-8234.5657;-0.4789;57.9695;0.0034;0.0075;1.0;0.4871;-0.2093;-0.2093;0.0075;0.0662;502.2816;6.7863;0.1474;27.1352;0.0369
123674#13564829;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;179519916920787.0;1.6401;24.2593;207898.7098;1636226792;61206.9987;4476.3279;160296.8874;208985.7674;208976.7879;0.2123;2.8682;24614.3908;-1087.0576;-8.9795;5150119.0;-0.0068;-0.0052;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0316;0.0404;1.3037;-0.0248;-0.0816;-0.0167;0.1184;25701.4484;5.534;0.1807;31.3378;0.0319
123674#13575081;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;348268638826327.0;3.1;48.1945;432577.1721;1636365295;66018.407;4729.1897;310975.9615;432736.565;432577.1785;0.0115;0.2148;1615.3861;-159.3929;-159.3864;5288622.0;-0.0005;-0.0004;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0022;0.084;1.391;-0.0383;-0.0816;-0.0167;0.0037;1774.779;5.534;0.1807;31.3378;0.0319
123674#13581158;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;272810433747289.0;2.3771;38.4725;345962.1694;1636446980;67906.2322;4796.3607;243597.8365;346211.4174;345947.7999;0.0028;0.0828;340.4136;-249.248;-263.6176;5370307.0;-0.001;-0.0007;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0042;0.0672;1.4202;-0.0432;-0.0816;-0.0167;0.001;589.6617;5.534;0.1807;31.3378;0.0319
123674#13603007;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;103667964823970.0;0.9411;14.0922;125782.3083;1636743154;64039.7405;4648.1275;92567.1779;125783.557;125767.3354;0.0179;0.1706;1937.1674;-1.2487;-16.2216;5666481.0;-0.0;-0.0;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0001;0.0244;1.3587;-0.0331;-0.0816;-0.0167;0.0154;1938.4161;5.534;0.1807;31.3378;0.0319
123674#13718577;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;305762403514619.0;3.3124;34.6206;354392.2121;1638327204;57377.3343;4735.3154;273021.3026;355503.92;353996.3609;0.1056;1.0193;9785.731;-1111.7078;-1507.5591;7250531.0;-0.0041;-0.0031;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0136;0.0688;1.2966;-0.0238;-0.0816;-0.0167;0.0276;10897.4388;5.534;0.1807;31.3378;0.0319
