id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper;IL_formula_annualized;average_mint_price0;average_mint_price1;priceQuotient0;priceQuotient1
101394#13193150;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;20330,883027;19928,725033;19257,000615;101394;0;11548.35881;3.391667585035498088;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3581751553455828,0;11548,35881;0,0;11548,35881;1631212194;1,0;3474,724;10254,2768;13898,896;11548,35881;202,175684;0,066533;-1927,232363;-2350,53719;-2350,53719;3435643,0;-0,229225;-0,203539;402,157995;0,02018;-4209,884359;-0,211247;-0,876359;0,599697;-0,260237;-0,238097;-0,919283;-0,166884;423,304827;0,000326;2718,966844;0,000368;3065,608163;-0,937257;1,0;2563,5692;0,737776;1,355424
101394#14745264;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;20330,883027;19928,725033;19257,000615;101394;0;11548.35881;3.391667585035498088;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3037027660376668,0;0,0;3,391668;7708,641805;1652139507;1,0;2235,5639;9786,674037;9567,988974;7582,289614;361,813699;0,127051;-1208,769583;-1859,347169;-1985,69936;2119490,0;-0,189988;-0,241203;402,157995;0,02018;-4209,884359;-0,211247;-0,983588;0,400303;-0,204929;-0,238097;-0,919283;-0,156807;650,577586;0,000326;2718,966844;0,000368;3065,608163;-0,967106;1,0;3030,7717;1,355708;0,737622
102011#12996782;0x7c99b6d2ce7f55501c77e432a6e1a16ae88104a4;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;126099,484474;124597,280153;124148,990999;102011;0;102941.375615;12.030615411936630228;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1,0211062954242004e+16;102941,375615;0,0;102941,375615;1628590477;1,0;3125,392;99175,329554;108081,719353;102941,375615;810,206528;0,290462;-3415,271832;-5140,343738;-5140,343738;762533,0;-0,051831;-0,049935;1502,204322;0,012056;-5666,824955;-0,045481;-0,879961;0,829176;-0,047034;-0,043241;-0,78793;-0,033177;1725,071906;0,000326;2050,874054;0,000488;3065,608163;-0,863823;1,0;2585,6108;0,827292;1,208764
102011#14901405;0x7c99b6d2ce7f55501c77e432a6e1a16ae88104a4;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;126099,484474;124597,280153;124148,990999;102011;0;102941.375615;12.030615411936630228;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2992241537198382,0;0,0;12,030615;21207,615384;1654318394;1,0;1762,8872;25335,075092;21734,096601;21208,617918;117,717001;0,055656;-301,059649;-526,481217;-525,478684;1900806,296371;-0,020781;-0,024825;1502,204322;0,012056;-5666,824955;-0,045481;-0,341212;0,170824;-0,024825;-0,043241;-0,78793;-0,014196;225,421568;0,000326;2050,874054;0,000488;3065,608163;-0,341212;0,804841;1646,793241;1,160658;0,86158
104854#15438237;0x0536e2cbd2956465b43d1b5c76a10537df988155;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;181,286483;199,863071;142,808438;104854;0;0;0.090892207588319896;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;14877039045045,0;0,0;0,090892;142,808438;1661833430;1,0;1580,5668;199,88354;180,504755;143,661206;22,873136;0,009932;0,781727;-37,696317;-36,84355;33674601,0;-0,188591;-0,263964;-18,576588;-0,092947;-37,696317;-0,188611;-0,249645;1,0;-0,203425;-0,203425;-0,249645;0,005474;38,478045;0,000335;1677,452242;0,000596;2983,948196;-0,191954;1,0;2606,8169;1,649292;0,606321
105327#13212406;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;22020,986594;20142,975555;19926,266007;105327;0;11573.439467;3.421429998093601793;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3803223291178615,0;11573,439467;0,42143;13012,027941;1631469232;1,0;3413,5882;11050,6604;13654,3528;13012,027936;994,47248;0,304048;1390,042018;-642,324859;-642,324864;3246884,0;-0,058125;-0,049364;1878,01104;0,093234;-622,680193;-0,030913;-0,388617;0,653009;-0,160563;-0,103863;-0,23878;0,106827;2032,366877;0,000289;3065,608163;0,000326;3456,442815;-0,817521;1,0;2762,6651;0,809314;1,235614
105327#14745063;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;22020,986594;20142,975555;19926,266007;105327;0;11573.439467;3.421429998093601793;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2852417468383961,0;0,0;3,0;6914,238066;1652136740;1,0;2298,1978;9092,3151;6894,5934;6894,5934;35,827284;0,011509;81,998376;19,644666;0,0;2116970,0;0,002161;0,002841;1878,01104;0,093234;-622,680193;-0,030913;0,043201;0,346991;0,002841;-0,103863;-0,23878;0,011859;62,35371;0,000289;3065,608163;0,000326;3456,442815;0,043201;1,0;3030,7717;1,31876;0,758288
106726#14985803;0xf77c292a34b2251af2267799e129ae54b83c3d17;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;28411,233883;52254,846168;18677,659035;106726;0;0;18.815490336360440227;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2290195260313230,0;0,0;18,81549;18677,659035;1655567347;1,0;990,4754;52088,399983;35531,172329;18636,280317;5285,959508;1,732603;-7119,938449;-16853,513293;-16894,892012;21863006,557963;-0,323556;-0,902335;-23843,612285;-0,456295;-16853,513293;-0,322525;-0,965185;1,0;-0,407588;-0,407588;-0,965185;-0,381201;9733,574844;0,0002;2000,240294;0,0005;4998,918171;-0,530323;0,031895;93,666982;2,965002;0,337268
106992#15273418;0x9daf7ba4aa3f3cb20ab87772c3a9af139614138d;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;9038,702078;10757,405119;7681,975581;106992;0;3072.941071;2.788399219145044302;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;190699237771326,0;3072,941071;2,788399;7681,975581;1659582627;1,0;1651,8763;10722,145615;8513,612579;7679,031656;789,062625;0,343243;525,089499;-831,636998;-834,580923;31175766,0;-0,077563;-0,108258;-1718,703041;-0,159769;-831,636998;-0,077308;-0,109509;1,0;-0,095638;-0,095638;-0,109509;0,068353;1356,726497;0,0001;600,091891;0,001666;9996,018618;-0,09675;1,0;3147,1434;1,905193;0,524881
107963#16275910;0x97a10e3163c473a7df1eb5738eb2d5b7fccd3bf5;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;70,218298;126,30736;53,721607;107963;0;0;0.044041276096076917;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;4056664485987,9995;0,0;0,044041;53,721607;1672141991;1,0;1219,8013;127,189455;74,326792;53,721606;11,904311;0,003765;-4,108494;-20,605185;-20,605186;43637597,0;-0,162004;-0,383555;-56,089062;-0,444068;-20,605185;-0,163135;-0,295214;1,0;-0,284395;-0,284395;-0,295214;-0,076477;16,496691;0,000124;2069,4143;0,000483;8078,429823;-0,214939;1,0;3096,7055;2,538697;0,393903
