id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper;IL_formula_annualized;average_mint_price0;average_mint_price1;priceQuotient0;priceQuotient1
155816#14775282;0xd08f3ad184154db5e614c24314dd505f6795dfe8;0x5777d92f208679db4b9778590fa3cab3ac9e2168;74684,784887;73249,045371;73249,045371;155816;0;73249.04537102960174674;0;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;7,325646711423224e+20;73249,045371;0,0;73249,045371;1652554355;1,0;1,0;73249,045371;73249,045371;73249,045371;716,430845;719,30867;1435,739515;0,0;0,0;15265801,0;0,0;0,0;1435,739516;0,019601;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,019601;1435,739515;1,000003;0,999797;1,000203;0,999997;0,0;1,0;1,0;1,0;1,0
155929#13650473;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907,368673;2012285,439237;2012296,073925;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1,7785612846671434e+21;21060,347406;423543,198841;444603,546247;1637392077;1,0;1,0;444589,899159;444589,899159;444603,546247;561,344947;619,120772;1194,112806;13,647088;13,647088;79738,507761;3,1e-05;3,1e-05;14621,929436;0,007266;10,581003;5e-06;0,012222;0,220943;0,0;0,0;0,002688;0,002686;1180,465719;0,999703;0,999797;1,000203;1,000297;0,0;0,996387;0,996387;1,0;1,0
155929#13713384;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907,368673;2012285,439237;2012296,073925;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2,257732073635322e+21;217881,019852;346487,29339;564368,313242;1638255342;1,0;1,0;564369,012669;564369,012669;564368,313242;3621,842733;3627,063027;7248,206333;-0,699427;-0,699427;943000,0;-1e-06;-1e-06;14621,929436;0,007266;10,581003;5e-06;-4,1e-05;0,28046;0,0;0,0;0,002688;0,012843;7248,90576;0,999703;0,999797;1,000203;1,000297;0,0;1,0;1,0;1,0;1,0
155929#14502526;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907,368673;2012285,439237;2012296,073925;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2,0068729543425083e+21;277264,825049;224398,575915;501663,400964;1648845009;1,0;1,0;501662,614557;501662,614557;501663,400964;2868,580046;2834,737801;5704,104255;0,786407;0,786407;11499852,288667;2e-06;2e-06;14621,929436;0,007266;10,581003;5e-06;4e-06;0,249299;0,0;0,0;0,002688;0,01137;5703,317847;0,999703;0,999797;1,000203;1,000297;0,0;0,404661;0,404661;1,0;1,0
155929#15074219;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907,368673;2012285,439237;2012296,073925;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;8,027491817370035e+20;71150,864087;129513,535537;200664,399624;1656913853;1,0;1,0;200665,813003;200665,813003;200664,399624;184,285064;205,488755;388,36044;-1,413379;-1,413379;19520445,0;-7e-06;-7e-06;14621,929436;0,007266;10,581003;5e-06;-1,1e-05;0,099719;0,0;0,0;0,002688;0,001935;389,773819;0,999703;0,999797;1,000203;1,000297;0,0;1,0;1,0;1,0;1,0
155929#15353692;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907,368673;2012285,439237;2012296,073925;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3,973608449598167e+20;38743,569258;60585,250455;99328,819713;1660671311;1,0;1,0;99329,577437;99329,577437;99328,819713;19,607477;17,982346;36,832099;-0,757723;-0,757723;23277903,0;-8e-06;-8e-06;14621,929436;0,007266;10,581003;5e-06;-1e-05;0,049361;0,0;0,0;0,002688;0,000371;37,589823;0,999703;0,999797;1,000203;1,000297;0,0;1,0;1,0;1,0;1,0
155929#15934903;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907,368673;2012285,439237;2012296,073925;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;4,0338146382284417e+20;41492,85756;59340,939386;100833,796946;1668026363;1,0;1,0;100834,496474;100834,496474;100833,796946;22,696141;22,231693;44,228306;-0,699528;-0,699528;30632747,358124;-7e-06;-7e-06;14621,929436;0,007266;10,581003;5e-06;-7e-06;0,050109;0,0;0,0;0,002688;0,000439;44,927834;0,999703;0,999797;1,000203;1,000297;0,0;0,723491;0,723491;1,0;1,0
155929#15964316;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907,368673;2012285,439237;2012296,073925;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;4,0338146382284417e+20;40167,736004;60666,061185;100833,797189;1668381167;1,0;1,0;100834,079624;100834,079624;100833,797189;3,084404;3,229539;6,031509;-0,282434;-0,282434;30741283,652394;-3e-06;-3e-06;14621,929436;0,007266;10,581003;5e-06;-3e-06;0,050109;0,0;0,0;0,002688;6e-05;6,313943;0,999703;0,999797;1,000203;1,000297;0,0;0,606752;0,606752;1,0;1,0
156278#15075804;0x07499c08287a6cd6514cace69100916c67631dc7;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2159466,192329;2123395,708339;2123347,019592;156278;0;825775.810072928544596934;1297571.209519;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2,123503024845798e+22;825775,810073;1297571,209519;2123347,019592;1656934455;1,0;1,0;2123395,708339;2123395,708339;2123347,019592;18065,935134;18053,237603;36070,48399;-48,688747;-48,688747;19229882,509275;-2,3e-05;-2,3e-05;36070,48399;0,016987;-48,688747;-2,3e-05;-3,8e-05;1,0;0,0;0,0;-3,8e-05;0,016988;36119,172737;0,999903;0,999897;1,000103;1,000097;0,0;0,529057;0,529057;1,0;1,0
159842#14187521;0x16138817910586ded9176737b23b011376b55169;0x5777d92f208679db4b9778590fa3cab3ac9e2168;67947,267095;67407,77733;67407,303273;159842;0;41585.582904888578368728;25821.720368;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1,3258531487925956e+20;24496,884344;15273,425836;39770,31018;1644618632;1,0;1,0;39770,588624;39770,588624;39770,31018;181,209999;179,512532;360,444086;-0,278444;-0,278444;6539474,0;-7e-06;-7e-06;539,489766;0,008003;-0,474057;-7e-06;-3,4e-05;0,59;0,0;0,0;-2,1e-05;0,009063;360,722531;0,999803;0,999597;1,000403;1,000197;0,0;1,0;1,0;1,0;1,0
