id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
216982#14973422;0xe13fa39f1b1f97a20f72005b0c427e74aa147925;0x5777d92f208679db4b9778590fa3cab3ac9e2168;85642.1304;85625.9079;85625.8267;216982;0;38444.786842161735401523;47181.039861;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.979720714314093e+18;1707.7021;2270.8175;3978.5196;1655384128;1.0;1.0;3978.5222;3978.5222;3978.5196;1.8403;2.3035;4.1412;-0.0026;-0.0026;6404643.0;-0.0;-0.0;16.2226;0.0002;-0.0812;-0.0;-0.0;0.0465;1.0;-0.0;-0.0;-0.0;0.001;4.1438;0.9989;1.0011;1.0009;0.9991
216982#14973428;0xe13fa39f1b1f97a20f72005b0c427e74aa147925;0x5777d92f208679db4b9778590fa3cab3ac9e2168;85642.1304;85625.9079;85625.8267;216982;0;38444.786842161735401523;47181.039861;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.117447892879373e+18;1337.698;1778.809;3116.507;1655384230;1.0;1.0;3116.509;3116.509;3116.507;0.0;0.0;-0.002;-0.002;-0.002;6404745.0;-0.0;-0.0;16.2226;0.0002;-0.0812;-0.0;-0.0;0.0364;1.0;-0.0;-0.0;-0.0;-0.0;0.0;0.9989;1.0011;1.0009;0.9991
216982#15519541;0xe13fa39f1b1f97a20f72005b0c427e74aa147925;0x5777d92f208679db4b9778590fa3cab3ac9e2168;85642.1304;85625.9079;85625.8267;216982;0;38444.786842161735401523;47181.039861;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;5.9231509964708086e+19;26281.4996;32932.1081;59213.6077;1662966029;1.0;1.0;59213.6718;59213.6718;59213.6077;0.0;0.0;-0.0641;-0.0641;-0.0641;13986459.5522;-0.0;-0.0;16.2226;0.0002;-0.0812;-0.0;-0.0;0.6915;1.0;-0.0;-0.0;-0.0;-0.0;0.0;0.9989;1.0011;1.0009;0.9991
222526#14780276;0x6b592b13759d983973388fad31e41755f54017cc;0x5777d92f208679db4b9778590fa3cab3ac9e2168;10364.4794;10359.7836;10359.7735;222526;0;5081.59400824635169115;5278.179533;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;5.180404536340086e+19;5081.594;5278.1795;10359.7735;1652622121;1.0;1.0;10359.7836;10359.7836;10359.7735;2.3134;2.3925;4.6958;-0.0101;-0.0101;2382481.0;-0.0;-0.0;4.6958;0.0005;-0.0101;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;0.0005;4.7059;0.9998;1.0002;1.0002;0.9998
222840#14796861;0x01c2a9d41ddb3e6102e2b70086d00c04c50ade17;0x5777d92f208679db4b9778590fa3cab3ac9e2168;359.8379;359.6667;359.6666;222840;0;162.309127112940220766;197.357486;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.7985118159885878e+18;162.3091;197.3575;359.6666;1652849682;1.0;1.0;359.6667;359.6667;359.6666;0.0837;0.0876;0.1712;-0.0001;-0.0001;2551118.0;-0.0;-0.0;0.1712;0.0005;-0.0001;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;0.0005;0.1713;0.9998;1.0002;1.0002;0.9998
223063#14632376;0xd730cd62cda9cfdc109be2d819b0337fafdca959;0x5777d92f208679db4b9778590fa3cab3ac9e2168;269775.3235;269783.7129;269773.3906;223063;0;119501.920970722447086236;150281.788033;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.1304950262950923e+20;90250.1502;112087.6522;202327.4839;1650599332;1.0;1.0;202337.7847;202337.7847;202337.8024;0.546;0.491;-9.2639;-10.3008;0.0177;253637.0;-0.0001;-0.0001;-8.3894;-0.0;-10.3224;-0.0;-0.0063;0.75;1.0;-0.0;-0.0;-0.0047;-0.0;1.0369;0.9989;1.0011;1.0008;0.9992
223063#14693210;0xd730cd62cda9cfdc109be2d819b0337fafdca959;0x5777d92f208679db4b9778590fa3cab3ac9e2168;269775.3235;269783.7129;269773.3906;223063;0;119501.920970722447086236;150281.788033;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;7.101650087650307e+19;29251.7708;38194.1358;67445.9066;1651425249;1.0;1.0;67445.9282;67445.9282;67445.9066;0.4106;0.4855;0.8745;-0.0216;-0.0216;1079554.0;-0.0;-0.0;-8.3894;-0.0;-10.3224;-0.0;-0.0;0.25;1.0;-0.0;-0.0;-0.0047;0.0;0.8961;0.9989;1.0011;1.0008;0.9992
223300#16898046;0x6e83f03becefac2623564ee8f9983ff76d67a556;0x5777d92f208679db4b9778590fa3cab3ac9e2168;899.4359;896.3837;896.3803;223300;0;387.288544365041418328;509.095181;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;8.96654449800196e+17;387.2885;509.0952;896.3803;1679669219;1.0;1.0;896.3837;896.3837;896.3837;1.5233;1.5322;3.0522;-0.0034;0.0;29264623.0;-0.0;-0.0;3.0522;0.0034;-0.0034;-0.0;-0.0;1.0;1.0;0.0;0.0;-0.0;0.0034;3.0556;0.9989;1.0011;1.0009;0.9991
224894#14726634;0x942d1ee3e36d82013b2cf49f725f36b502142fd5;0x5777d92f208679db4b9778590fa3cab3ac9e2168;9499.6265;9499.4527;9499.4463;224894;0;4469.870851994710374513;5029.57543;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;9.502315311423328e+18;4469.8709;5029.5754;9499.4463;1651882687;1.0;1.0;9499.4475;9499.4475;9499.4463;0.0894;0.0908;0.179;-0.0012;-0.0012;1125257.0;-0.0;-0.0;0.1738;0.0;-0.0012;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;0.0;0.1802;0.9989;1.0011;1.0009;0.9991
226333#14987182;0x683a42e5b414ae5cf79ece7e369ca5937fdcdc11;0x5777d92f208679db4b9778590fa3cab3ac9e2168;24844.0832;24822.6077;24822.6135;226333;0;5467.869394411969462829;19354.744104;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.654988196133071e+20;5467.8694;19354.7441;24822.6135;1655587541;1.0;1.0;24822.6077;24822.6077;24822.6135;10.2976;11.1721;21.4755;0.0058;0.0058;4574084.0;0.0;0.0;21.4755;0.0009;0.0058;0.0;0.0;1.0;1.0;-0.0;-0.0;0.0;0.0009;21.4697;0.9998;1.0002;1.0001;0.9999
