id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
244206#14834558;0x9b0bdb96089c5841ec3b084be2a88b45e22e2740;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;26.0382;26.0382;26.0382;244206;0;12.999999;0.006590115385497883;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;991188540272.0;13.0;0.0066;26.0382;1653378458;1.0;1978.4552;26.0382;26.0382;26.0382;0.0;0.0;-0.0;-0.0;-0.0;829.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;-0.0018;1.0;1.0;-0.0;-0.0;-0.0018;-0.0;0.0;0.0003;3991.7621;0.001;984.4253
244553#14847105;0x8959f35adea1b24b0b5de98a7366278e35b760bf;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;59352.8362;64208.7508;59012.301;244553;0;0;32.235408038261933051;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;4.808122997719491e+16;0.0;32.2354;59012.301;1653555728;1.0;1838.8649;64208.7512;61165.4803;59276.5604;37.5199;0.1655;-1812.6442;-2153.1794;-1888.92;108132.0;-0.0335;-0.0365;-4855.9146;-0.0756;-2153.1794;-0.0335;-1.0;1.0;0.9232;-0.0327;-0.0327;-1.0;-0.0307;340.5352;0.0005;2063.2157;0.0005;1943.0692
244799#14874179;0x27e40242749af66d18d7d4e41f37f4afa094c1ec;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;3916.2142;3886.32;3857.9636;244799;0;1863.481142;1.037251464700062648;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;150788465323098.0;1863.4811;1.0373;3857.9636;1653936012;1.0;1922.8534;3886.32;3858.3616;3857.9636;24.806;0.0174;57.8527;-0.398;-0.3979;452549.0;-0.0001;-0.0001;29.8943;0.0077;-0.398;-0.0001;-0.0072;1.0;0.9927;-0.0;-0.0;-0.0072;0.015;58.2507;0.0003;3912.7239;0.001;984.4253
245042#14848145;0x6d707f73f621722fec0e6a260f43f24ccc8d4997;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;724254.3522;758711.8856;723922.0258;245042;0;0;410.663552492085148298;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;9.274820726015278e+16;0.0;410.6636;723922.0258;1653570934;1.0;1808.6295;752070.8363;743432.0971;742738.2156;0.0;0.1885;-19177.745;-19510.0713;-693.8815;16913.0;-0.0259;-0.027;-34457.5334;-0.0454;-19510.0713;-0.0257;-1.0;1.0;0.9876;-0.0002;-0.0002;-1.0;-0.0265;332.3263;0.0004;2785.0081;0.0005;1829.9191
245168#14896936;0x6d707f73f621722fec0e6a260f43f24ccc8d4997;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;792040.5121;803298.4434;782393.6626;245168;0;0;444.443871630427339375;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;9.53199471562944e+16;0.0;444.4439;782393.6626;1654256855;1.0;1760.3926;802484.7024;782414.2897;782395.7027;4875.6734;2.5993;9626.2224;-20.6271;-18.587;675975.9677;-0.0;-0.0;-11257.9313;-0.014;-20.6271;-0.0;-0.0012;1.0;0.975;-0.0008;-0.0008;-0.0012;0.0123;9646.8495;0.0004;2785.0081;0.0006;1793.6861
245168#14896936;0x6d707f73f621722fec0e6a260f43f24ccc8d4997;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;792040.5121;803298.4434;782393.6626;245168;0;0;444.443871630427339375;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;9.53199471562944e+16;0.0;444.4439;782393.6626;1654256855;1.0;1760.3926;802484.7024;782414.2897;782395.7027;4875.6734;2.5993;9626.2224;-20.6271;-18.587;675975.9677;-0.0;-0.0;-11257.9313;-0.014;-20.6271;-0.0;-0.0012;1.0;0.975;-0.0008;-0.0008;-0.0012;0.0123;9646.8495;0.0004;2785.0081;0.0006;1793.6861
245375#14873881;0x8959f35adea1b24b0b5de98a7366278e35b760bf;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;68823.1596;66225.6587;67804.529;245375;0;67804.529041;0;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2.0208968374409496e+16;67804.529;0.0;67804.529;1653932241;1.0;1930.3977;66231.5475;69819.7394;67804.529;676.084;0.1773;-996.5798;-2015.2104;-2015.2104;314179.0;-0.0304;-0.0297;2597.5009;0.0392;-2015.2104;-0.0304;-0.9517;1.0;1.0237;-0.0018;-0.0018;-0.9517;-0.0147;1018.6306;0.0005;1904.5957;0.0006;1623.0024
245379#14956322;0xc2334bce805681c55003dbae7c8f257cd5069904;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;13540.7655;17314.9633;12810.5204;245379;0;0;10.38876179575812356;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2277917757237374.0;0.0;10.3888;12810.5204;1655128460;1.0;1235.7226;17256.4317;14827.5567;12837.6277;390.9924;0.2751;-1286.7912;-2017.0363;-1989.9289;1510256.0;-0.1169;-0.1575;-3774.1978;-0.218;-2017.0363;-0.1165;-0.9721;1.0;0.7439;-0.1043;-0.1043;-0.9721;-0.1004;730.2451;0.0005;2104.8933;0.0007;1439.4826
246082#14861591;0x25658d668d69fa59680efe1c1ed997b821f2f4e7;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;284376.9628;286303.4707;284351.6615;246082;0;104873.909654;101.415373047359361035;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.4207406634760284e+16;104873.9097;101.4154;284351.6615;1653758774;1.0;1773.6416;284140.8099;284752.0799;284748.4342;0.0;0.0143;-375.1171;-400.4184;-3.6457;3532.0;-0.0014;-0.0014;-1926.508;-0.0067;-400.4184;-0.0014;-1.0;1.0;1.0021;-0.0;-0.0;-1.0;-0.0013;25.3013;0.0003;3611.9138;0.0008;1202.3678
246193#14957641;0xae6d3770b84247bc7aa0429337d2f87dee21e357;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;79906.1316;105218.1361;75114.6147;246193;0;0;61.181717210294629992;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.7173030415474836e+16;0.0;61.1817;75114.6147;1655147647;1.0;1228.2936;105224.5877;88759.622;75149.1117;2226.9195;1.5411;-8853.4905;-13645.0073;-13610.5104;1330314.9719;-0.1297;-0.1817;-25312.0045;-0.2406;-13645.0073;-0.1297;-0.9914;1.0;0.7142;-0.1343;-0.1343;-0.9914;-0.1179;4791.5169;0.0005;2063.2157;0.0007;1528.4907
246541#14869869;0xd7f0233f147de4e878c6a57e1b0b7baae4ac3516;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;19702.2799;19408.8489;19695.586;246541;0;5695.248892;7.63417698876494801;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3669386456738559.0;5695.2489;7.6342;19695.586;1653875249;1.0;1838.9935;19408.8132;19744.4996;19734.4508;6.6939;0.0;-42.2197;-48.9136;-10.0488;37873.0;-0.0025;-0.0025;293.4311;0.0151;-48.9136;-0.0025;-0.8741;1.0;1.0168;-0.0005;-0.0005;-0.8741;-0.0021;6.6939;0.0005;2190.7912;0.0006;1689.235
