id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
101394#13193150;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;20330.883;19928.725;19257.0006;101394;0;11548.35881;3.391667585035498088;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3581751553455828.0;11548.3588;0.0;11808.2143;1631212194.0;1.0;3474.724;10254.2768;13898.896;11548.3588;202.1757;0.0665;-1927.2324;-2350.5372;-2350.5372;3435643.0;-0.2292;-0.1991;402.158;0.0202;-2350.5372;-0.1179;-0.8698;0.6132;1.1262;-0.045;-0.0276;-0.5334;423.3048;0.0003;3065.6082;0.0004;2718.9668
101394#14745264;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;20330.883;19928.725;19257.0006;101394;0;11548.35881;3.391667585035498088;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3037027660376668.0;0.0;3.3917;7708.6418;1652139507.0;1.0;2235.5639;0.0;0.0;0.0;361.8137;0.1271;0.0;0.0;0.0;0.0;0.0;0.0;402.158;0.0202;-2350.5372;-0.1179;0.0;0.0;0.0;0.0;-0.0276;-0.5334;650.5776;0.0003;3065.6082;0.0004;2718.9668
102011#12996782;0x7c99b6d2ce7f55501c77e432a6e1a16ae88104a4;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;126099.4845;124597.2802;124148.991;102011;0;102941.375615;12.030615411936630228;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.0211062954242004e+16;102941.3756;0.0;102941.3756;1628590477.0;1.0;3125.392;99175.3296;108081.7194;102941.3756;810.2065;0.2905;-3415.2718;-5140.3437;-5140.3437;762533.0;-0.0518;-0.0499;1502.2043;0.0121;-5666.825;-0.0455;-0.88;0.8292;1.038;-0.0018;-0.0086;-0.788;1725.0719;0.0003;3065.6082;0.0005;2050.8741
102011#14901405;0x7c99b6d2ce7f55501c77e432a6e1a16ae88104a4;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;126099.4845;124597.2802;124148.991;102011;0;102941.375615;12.030615411936630228;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2992241537198382.0;0.0;12.0306;21411.2408;1654318394.0;1.0;1762.8872;25335.0751;21734.0966;21208.6179;117.717;0.0557;-301.0596;-526.4812;-525.4787;1900806.2964;-0.0208;-0.0246;1502.2043;0.0121;-5666.825;-0.0455;-0.3386;0.1725;0.8371;-0.0412;-0.0086;-0.788;225.4216;0.0003;3065.6082;0.0005;2050.8741
104854#15438237;0x0536e2cbd2956465b43d1b5c76a10537df988155;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;181.2865;199.8631;142.8084;104854;0;0;0.090892207588319896;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;14877039045044.998;0.0;0.0909;142.8084;1661833430.0;1.0;1580.5668;199.8835;180.5048;143.6612;22.8731;0.0099;0.7817;-37.6963;-36.8435;33674601.0;-0.1886;-0.264;-18.5766;-0.0929;-37.6963;-0.1886;-0.2496;1.0;0.7187;-0.0989;-0.0989;-0.2496;38.478;0.0003;2983.9482;0.0006;1677.4522
105327#13212406;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;22020.9866;20142.9756;19926.266;105327;0;11573.439467;3.421429998093601793;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3803223291178615.0;11573.4395;0.4214;13012.0279;1631469232.0;1.0;3413.5882;11050.6604;13654.3528;13012.0279;994.4725;0.304;1390.042;-642.3249;-642.3249;3246884.0;-0.0581;-0.0494;1878.011;0.0932;-622.6802;-0.0309;-0.3886;0.653;1.1775;-0.0675;-0.0872;-0.2388;2032.3669;0.0003;3456.4428;0.0003;3065.6082
105327#14745063;0xff770424739a77b8990632c75ed859b74c0ef749;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;22020.9866;20142.9756;19926.266;105327;0;11573.439467;3.421429998093601793;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2852417468383961.0;0.0;3.0;6914.2381;1652136740.0;1.0;2298.1978;9092.3151;6894.5934;6894.5934;35.8273;0.0115;81.9984;19.6447;0.0;2116970.0;0.0022;0.0028;1878.011;0.0932;-622.6802;-0.0309;0.0432;0.347;0.7583;-0.1243;-0.0872;-0.2388;62.3537;0.0003;3456.4428;0.0003;3065.6082
106726#14985803;0xf77c292a34b2251af2267799e129ae54b83c3d17;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;28411.2339;52254.8462;18677.659;106726;0;0;18.815490336360440227;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2290195260313230.0;0.0;18.8155;27314.1249;1655567347.0;1.0;990.4754;0.0;0.0;0.0;5285.9595;1.7326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9733.5748;0.0002;4998.9182;0.0005;2000.2403
106992#15273418;0x9daf7ba4aa3f3cb20ab87772c3a9af139614138d;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;9038.7021;10757.4051;7681.9756;106992;0;3072.941071;2.788399219145044302;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;190699237771326.0;3072.9411;2.7884;9038.6924;1659582627.0;1.0;1651.8763;10722.1456;8513.6126;7679.0317;789.0626;0.3432;525.0895;-831.637;-834.5809;31175766.0;-0.0776;-0.092;-1718.703;-0.1598;-831.637;-0.0773;-0.0931;1.1766;0.7162;-0.0273;-0.0321;-0.1095;1356.7265;0.0001;9996.0186;0.0017;600.0919
107963#16275910;0x97a10e3163c473a7df1eb5738eb2d5b7fccd3bf5;0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640;70.2183;126.3074;53.7216;107963;0;0;0.044041276096076917;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;4056664485988.0;0.0;0.044;53.7216;1672141991.0;1.0;1219.8013;127.1895;74.3268;53.7216;11.9043;0.0038;-4.1085;-20.6052;-20.6052;43637597.0;-0.162;-0.3836;-56.0891;-0.4441;-20.6052;-0.1631;-0.2952;1.0;0.4224;-0.2856;-0.2856;-0.2952;16.4967;0.0001;8078.4298;0.0005;2069.4143
