blockNumber,collectedFeesToken0,collectedFeesToken1,depositedToken0,depositedToken1,feeGrowthInside0LastX128,feeGrowthInside1LastX128,id,liquidity,owner,withdrawnToken0,withdrawnToken1,position_amountCollectedUSD,position_amountDepositedUSD,position_amountWithdrawnUSD,position_collectedFeesToken0,position_collectedFeesToken1,position_collectedToken0,position_collectedToken1,position_depositedToken0,position_depositedToken1,position_feeGrowthInside0LastX128,position_feeGrowthInside1LastX128,position_id,position_liquidity,position_owner,position_tickLower,position_tickUpper,position_withdrawnToken0,position_withdrawnToken1,pool_feeGrowthGlobal0X128,pool_feeGrowthGlobal1X128,transaction_blockNumber,burns_amount,burns_amount0,burns_amount1,burns_amountUSD,burns_id,collects_amount0,collects_amount1,collects_amountUSD,collects_id,mints_amount,mints_amount0,mints_amount1,mints_amountUSD,mints_id,mints_timestamp
12926150,0,0,8000,0,11008837658217980778390526746051,4887559312590446375669333641975458956906,100018#12926150,15422659974764630,0xd641b2970774d3d2520d1569e839fe637328e008,0,0,7999.999999,8000,7999.999999,0,0,7999.999999,0,8000,0,11008837658217980778390526746051,4887559312590446375669333641975458956906,100018,0,0xd641b2970774d3d2520d1569e839fe637328e008,199140,199360,7999.999999,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12926150,,,,,,,,,,15422659974764630,8000,0,8000,0x2c7f109a2cb6483ddb2f36bb0c338b5f89c92518cc644135886a91a9f5660413#407439,1627636914
12932565,0,0,8000,0,11008837658217980778390526746051,4887559312590446375669333641975458956906,100018#12932565,0,0xd641b2970774d3d2520d1569e839fe637328e008,7999.999999,0,7999.999999,8000,7999.999999,0,0,7999.999999,0,8000,0,11008837658217980778390526746051,4887559312590446375669333641975458956906,100018,0,0xd641b2970774d3d2520d1569e839fe637328e008,199140,199360,7999.999999,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12932565,15422659974764630,7999.999999,0,7999.999999,0xb32fed558ba72c0ff403333b28bfd9b7fe90bea0d6600acff0bb6e87607c08f9#414052,7999.999999,0,7999.999999,0xb32fed558ba72c0ff403333b28bfd9b7fe90bea0d6600acff0bb6e87607c08f9#414053,,,,,,
12926533,0,0,12023.10034,69.888679887865986909,104937103292654615105335995790793,51217108798373869724953161768822816498423,100055#12926533,244306603727064747,0x93656fd28ab583e8e17f02c4299a8e34d5177a91,0,0,179500.151687684016247816047915121,176334.2725546737205033150815956484,179053.596398,261.193311,0.074161830612215422,179314.789709,0.074161830612215422,12023.10034,69.888679887865986909,105300906304171437028820429886581,51320405078011515423234623727131948538660,100055,0,0x93656fd28ab583e8e17f02c4299a8e34d5177a91,198390,198690,179053.596398,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12926533,,,,,,,,,,244306603727064747,12023.10034,69.888679887865986909,176334.2725546737205033150815956484,0xd4398c79aea19e1a2c4ab93a3609f3733b718abc02822feb88863f9ec4ff1400#407875,1627642219
12935564,261.193311,0.074161830612215422,12023.10034,69.888679887865986909,105300906304171437028820429886581,51320405078011515423234623727131948538660,100055#12935564,0,0x93656fd28ab583e8e17f02c4299a8e34d5177a91,179053.596398,0,179500.151687684016247816047915121,176334.2725546737205033150815956484,179053.596398,261.193311,0.074161830612215422,179314.789709,0.074161830612215422,12023.10034,69.888679887865986909,105300906304171437028820429886581,51320405078011515423234623727131948538660,100055,0,0x93656fd28ab583e8e17f02c4299a8e34d5177a91,198390,198690,179053.596398,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12935564,244306603727064747,179053.596398,0,179053.596398,0xc8b4510c429df8453c141caf36632c2825bbe5a09a95d57bc3b9afbe693a689f#416603,179314.789709,0.074161830612215422,179500.151687684016247816047915121,0xc8b4510c429df8453c141caf36632c2825bbe5a09a95d57bc3b9afbe693a689f#416604,,,,,,
12926555,0,0,2287.968569,3.826339859538580712,57545210783913165670781750695965,23782296353144284145879132134552280940204,100059#12926555,3897994076369925,0x2366f7b0ae4a2c3c33a306c7f059dab8ec726077,0,0,12079.99632084398057085322068212338,11286.88337863629218070351622100565,11759.859145,156.311602,0.060460952385322679,11916.170747,0.060460952385322679,2287.968569,3.826339859538580712,71190711768796316165090870864574,29060343364219136269940761268533552281588,100059,0,0x2366f7b0ae4a2c3c33a306c7f059dab8ec726077,197690,198910,11759.859145,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12926555,,,,,,,,,,3897994076369925,2287.968569,3.826339859538580712,11286.88337863629218070351622100565,0x83474546805f7003ca98fd6ebf509ffe846f42bdfeda7a6871a82fc8084069f5#407889,1627642458
12959805,156.311602,0.060460952385322679,2287.968569,3.826339859538580712,71190711768796316165090870864574,29060343364219136269940761268533552281588,100059#12959805,0,0x2366f7b0ae4a2c3c33a306c7f059dab8ec726077,11759.859145,0,12079.99632084398057085322068212338,11286.88337863629218070351622100565,11759.859145,156.311602,0.060460952385322679,11916.170747,0.060460952385322679,2287.968569,3.826339859538580712,71190711768796316165090870864574,29060343364219136269940761268533552281588,100059,0,0x2366f7b0ae4a2c3c33a306c7f059dab8ec726077,197690,198910,11759.859145,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12959805,3897994076369925,11759.859145,0,11759.859145,0x4b70cad628c0b376a5f2708b6a2412d29421b61eac849a5c2fbf8faf39adccbb#442990,11916.170746,0.060460952385322678,12079.99631984398056814361113446184,0x4b70cad628c0b376a5f2708b6a2412d29421b61eac849a5c2fbf8faf39adccbb#442991,,,,,,
12926815,0,0,43106.695782,35.218151662327084649,115792089237316195423570985008687907853269984581520463577706075996732017624237,115792089237316195423570985008687907808529689591317343112559200178578797763461,100093#12926815,11890934899226495,0x34921ddccd844d0cd7b30b473889cefeae138411,0,0,136023.8036431827371345216143896378,125620.5803426061867126007187799854,134623.1285148359578892894237165348,694.00075,0.263650773198789573,85301.685353,18.923744959838890889,43106.695782,35.218151662327084649,115792089237316195423570985008687907853269984601380652888729456798286642940333,115792089237316195423570985008687907816074572302806718680051057797375892837992,100093,0,0x34921ddccd844d0cd7b30b473889cefeae138411,195660,200310,84607.684603,18.660094186640101316,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12926815,,,,,,,,,,11890934899226495,43106.695782,35.218151662327084649,125620.5803426061867126007187799854,0xc28128a751c455525b7478d47a261d149e114ea0dab7bf902c81ecc61e7f3fd3#408098,1627646025
12963841,694.00075,0.263650773198789573,43106.695782,35.218151662327084649,115792089237316195423570985008687907853269984601380652888729456798286642940333,115792089237316195423570985008687907816074572302806718680051057797375892837992,100093#12963841,0,0x34921ddccd844d0cd7b30b473889cefeae138411,84607.684603,18.660094186640101316,136023.8036431827371345216143896378,125620.5803426061867126007187799854,134623.1285148359578892894237165348,694.00075,0.263650773198789573,85301.685353,18.923744959838890889,43106.695782,35.218151662327084649,115792089237316195423570985008687907853269984601380652888729456798286642940333,115792089237316195423570985008687907816074572302806718680051057797375892837992,100093,0,0x34921ddccd844d0cd7b30b473889cefeae138411,195660,200310,84607.684603,18.660094186640101316,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12963841,11890934899226495,84607.684603,18.660094186640101316,134623.1285148359578892894237165348,0x8780335b6f0822beb9b563bce5441ca1ca2563a95c00758aeb93fb1d9c0de162#447161,85301.685353,18.923744959838890889,136023.8036431827371345216143896378,0x8780335b6f0822beb9b563bce5441ca1ca2563a95c00758aeb93fb1d9c0de162#447162,,,,,,
12926879,0,0,21746.532129,9.539774619900987535,115792089237316195423570985008687907853269984663248367501812029854190680851618,115792089237316195423570985008687907852200480186754527814278190244201630948030,100102#12926879,24852351218752739,0x57e7298d133cbade14fdc633464fec839dd196bf,0,0,44671.66948069465552666373871272002,44080.28570248738297548775089684476,44528.49674,76.271238,0.027242452641154817,44604.767978,0.027242452641154817,21746.532129,9.539774619900987535,115792089237316195423570985008687907853269984664292685501150037251769466399454,115792089237316195423570985008687907852573488204541947889622977357728662348640,100102,0,0x57e7298d133cbade14fdc633464fec839dd196bf,198350,199090,44528.49674,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12926879,,,,,,,,,,24852351218752739,21746.532129,9.539774619900987535,44080.28570248738297548775089684476,0xb2cc4816eecdc0cf9120c3ac8df85a7ed2a021e1cb4eb2bfdc8d6b766fcf7bd3#408168,1627646965
12935183,76.271238,0.027242452641154817,21746.532129,9.539774619900987535,115792089237316195423570985008687907853269984664292685501150037251769466399454,115792089237316195423570985008687907852573488204541947889622977357728662348640,100102#12935183,0,0x57e7298d133cbade14fdc633464fec839dd196bf,44528.49674,0,44671.66948069465552666373871272002,44080.28570248738297548775089684476,44528.49674,76.271238,0.027242452641154817,44604.767978,0.027242452641154817,21746.532129,9.539774619900987535,115792089237316195423570985008687907853269984664292685501150037251769466399454,115792089237316195423570985008687907852573488204541947889622977357728662348640,100102,0,0x57e7298d133cbade14fdc633464fec839dd196bf,198350,199090,44528.49674,0,2862807391324509248690126078958293,1335095180537505891184944940324233612814434,12935183,24852351218752739,44528.49674,0,44528.49674,0xf1ef48ba81340807d96631bee6780e7080189f08a048d40c6989a5fdf5cc0b09#416211,44604.767978,0.027242452641154817,44671.66948069465552666373871272002,0xf1ef48ba81340807d96631bee6780e7080189f08a048d40c6989a5fdf5cc0b09#416212,,,,,,
