blockNumber,collectedFeesToken0,collectedFeesToken1,depositedToken0,depositedToken1,feeGrowthInside0LastX128,feeGrowthInside1LastX128,id,liquidity,owner,withdrawnToken0,withdrawnToken1,position_amountCollectedUSD,position_amountDepositedUSD,position_amountWithdrawnUSD,position_collectedFeesToken0,position_collectedFeesToken1,position_collectedToken0,position_collectedToken1,position_depositedToken0,position_depositedToken1,position_feeGrowthInside0LastX128,position_feeGrowthInside1LastX128,position_id,position_liquidity,position_owner,position_tickLower,position_tickUpper,position_withdrawnToken0,position_withdrawnToken1,pool_feeGrowthGlobal0X128,pool_feeGrowthGlobal1X128,transaction_blockNumber,burns_amount,burns_amount0,burns_amount1,burns_amountUSD,burns_id,collects_amount0,collects_amount1,collects_amountUSD,collects_id,mints_amount,mints_amount0,mints_amount1,mints_amountUSD,mints_id,mints_timestamp
12926375,0,0,1.67728128,20.784129162816279732,2030982890769260637546505267286,342281897003276380887373834456853304354129,100036#12926375,3255250625167502,0x128b4afcdca087d1ecca2ad0d015d6d948205520,0,0,123488.4317394643881384272292511967,113497.3907826303302666936513109291,122564.9457474490833733537737053003,0.01124592,0.176471628748465784,2.96678325,0.176471628748465784,1.67728128,20.784129162816279732,2148540300897583125044081396658,360729073715463058557530239045585498049857,100036,0,0x128b4afcdca087d1ecca2ad0d015d6d948205520,258000,258740,2.95553733,0,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12926375,,,,,,,,,,3255250625167502,1.67728128,20.784129162816279732,113497.3907826303302666936513109291,0x4b418edf26d3a2fd161631a0c697a787f3fd42b52c1d02aec933253af036aa19#57826,1627639898
12940509,0.01124592,0.176471628748465784,1.67728128,20.784129162816279732,2148540300897583125044081396658,360729073715463058557530239045585498049857,100036#12940509,0,0x128b4afcdca087d1ecca2ad0d015d6d948205520,2.95553733,0,123488.4317394643881384272292511967,113497.3907826303302666936513109291,122564.9457474490833733537737053003,0.01124592,0.176471628748465784,2.96678325,0.176471628748465784,1.67728128,20.784129162816279732,2148540300897583125044081396658,360729073715463058557530239045585498049857,100036,0,0x128b4afcdca087d1ecca2ad0d015d6d948205520,258000,258740,2.95553733,0,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12940509,3255250625167502,2.95553733,0,122564.9457474490833733537737053003,0x0df30a8e35d1f9f0932ff2e9312901a1a1829e8fcd83580b115b29bad885d885#60184,2.96678325,0.176471628748465784,123488.4317394643881384272292511967,0x0df30a8e35d1f9f0932ff2e9312901a1a1829e8fcd83580b115b29bad885d885#60185,,,,,,
12927201,0,0,4.28092456,71.879134344649613346,0,0,100131#12927201,599052406196522,0x5953ffcb056dc2bf11a38646d26db9acca885e08,0,0,538138.3217123024905517522472945833,507323.2748402756501742054365970352,537186.3811168985505504438080308361,0.01210069,0.175326139525423276,7.88043372,83.943867859258582431,6.27893102,108.607552914727796344,473460837089677333215648573117,69179201968593212780461950540850419638393,100131,0,0x5953ffcb056dc2bf11a38646d26db9acca885e08,251400,265260,7.86833303,83.768541719733159155,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12927201,,,,,,,,,,599052406196522,4.28092456,71.879134344649613346,333289.5691599747339405655662664685,0xcddd93222b5f7fa96920bf1368c586c597698e8d5dc4a613dbda72be25f08ce5#57928,1627651259
12930348,0,0,6.27893102,108.607552914727796344,35874967196003196514660922646,6963831591836411338623370702657895831667,100131#12930348,891880789801019,0x5953ffcb056dc2bf11a38646d26db9acca885e08,0,0,538138.3217123024905517522472945833,507323.2748402756501742054365970352,537186.3811168985505504438080308361,0.01210069,0.175326139525423276,7.88043372,83.943867859258582431,6.27893102,108.607552914727796344,473460837089677333215648573117,69179201968593212780461950540850419638393,100131,0,0x5953ffcb056dc2bf11a38646d26db9acca885e08,251400,265260,7.86833303,83.768541719733159155,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12930348,,,,,,,,,,292828383604497,1.99800646,36.728418570078182998,174033.7056803009162336398703305667,0xf075c93d611ced4b5525415146913c9833f1fa8c54d4b54731be0c0c27b94b75#58634,1627693633
12962614,0.01210069,0.175326139525423276,6.27893102,108.607552914727796344,473460837089677333215648573117,69179201968593212780461950540850419638393,100131#12962614,0,0x5953ffcb056dc2bf11a38646d26db9acca885e08,7.86833303,83.768541719733159155,538138.3217123024905517522472945833,507323.2748402756501742054365970352,537186.3811168985505504438080308361,0.01210069,0.175326139525423276,7.88043372,83.943867859258582431,6.27893102,108.607552914727796344,473460837089677333215648573117,69179201968593212780461950540850419638393,100131,0,0x5953ffcb056dc2bf11a38646d26db9acca885e08,251400,265260,7.86833303,83.768541719733159155,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12962614,891880789801019,7.86833303,83.768541719733159155,537186.3811168985505504438080308361,0x5c2faecbed2e57ab286eba1064ad67ba0329e5c01d1804b341919f44c0e39c06#63555,7.88043372,83.943867859258582431,538138.3217123024905517522472945833,0x5c2faecbed2e57ab286eba1064ad67ba0329e5c01d1804b341919f44c0e39c06#63556,,,,,,
12927332,0,0,0.56043494,9.985145006886503525,115792089237316195423570985008687907853269984664781271355279822512070003329236,115792089237316195423570985008687907707225247898406438661357394952259455513940,100143#12927332,7295623417151413,0xa35d0c0e89f17e89f154018bdc02b309888701ca,0,0,47143.74087688006939267096573931117,45112.71824285039217785447159175825,46999.26323168703231746239184920146,0.00163202,0.031793590609289018,0.00163202,19.341775764440950091,0.56043494,9.985145006886503525,115792089237316195423570985008687907853269984664788883441461729949351065846291,115792089237316195423570985008687907708708164113628030390066814480474789757943,100143,0,0xa35d0c0e89f17e89f154018bdc02b309888701ca,258290,258420,0,19.309982173831661073,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12927332,,,,,,,,,,7295623417151413,0.56043494,9.985145006886503525,45112.71824285039217785447159175825,0x3877b73829403d9e461acecf035b4de0a03d22537559161e4159b11054206a91#57938,1627653027
12929744,0.00163202,0.031793590609289018,0.56043494,9.985145006886503525,115792089237316195423570985008687907853269984664788883441461729949351065846291,115792089237316195423570985008687907708708164113628030390066814480474789757943,100143#12929744,0,0xa35d0c0e89f17e89f154018bdc02b309888701ca,0,19.309982173831661073,47143.74087688006939267096573931117,45112.71824285039217785447159175825,46999.26323168703231746239184920146,0.00163202,0.031793590609289018,0.00163202,19.341775764440950091,0.56043494,9.985145006886503525,115792089237316195423570985008687907853269984664788883441461729949351065846291,115792089237316195423570985008687907708708164113628030390066814480474789757943,100143,0,0xa35d0c0e89f17e89f154018bdc02b309888701ca,258290,258420,0,19.309982173831661073,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12929744,7295623417151413,0,19.309982173831661073,46999.26323168703231746239184920146,0x643bc6f2170051e12870ccba4e0a671c1641c0a6753c91177c11f2e8e084953f#58446,0.00163202,19.341775764440950091,47143.74087688006939267096573931117,0x643bc6f2170051e12870ccba4e0a671c1641c0a6753c91177c11f2e8e084953f#58447,,,,,,
12927347,0,0,0.04049387,0.566050374197388331,0,0,100145#12927347,19479138827050,0xd7e03a7c9a26cb4af829bbb3fe0f92f74a5833c4,0,0,3990.266914485838098815255288499409,2895.843600551950023572117708092408,3883.829497313147949754677192090708,0.00098395,0.014452151760852451,0.07821554,0.014452151760852451,0.04049387,0.566050374197388331,1718873138120720919379831902130,252465596756992473476844203958227444888851,100145,0,0xd7e03a7c9a26cb4af829bbb3fe0f92f74a5833c4,256880,260130,0.07723159,0,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12927347,,,,,,,,,,19479138827050,0.04049387,0.566050374197388331,2895.843600551950023572117708092408,0x83257fa12667bab45d7354817f58c85fdfce5f74e6b80516fd28cd8e4d0b0031#57941,1627653201
13165148,0.00098395,0.014452151760852451,0.04049387,0.566050374197388331,1718873138120720919379831902130,252465596756992473476844203958227444888851,100145#13165148,0,0xd7e03a7c9a26cb4af829bbb3fe0f92f74a5833c4,0.07723159,0,3990.266914485838098815255288499409,2895.843600551950023572117708092408,3883.829497313147949754677192090708,0.00098395,0.014452151760852451,0.07821554,0.014452151760852451,0.04049387,0.566050374197388331,1718873138120720919379831902130,252465596756992473476844203958227444888851,100145,0,0xd7e03a7c9a26cb4af829bbb3fe0f92f74a5833c4,256880,260130,0.07723159,0,36547457665268416597696647420520,5554361403704311178988676838104600177158650,13165148,19479138827050,0.07723159,0,3883.829497313147949754677192090708,0x6b34e9b9c071968844f17135800b20960a645a0d255fd541a2dd051602309d72#83893,0.07821554,0.014452151760852451,3990.266914485838098815255288499409,0x6b34e9b9c071968844f17135800b20960a645a0d255fd541a2dd051602309d72#83894,,,,,,
12927705,0,0,5.51524652,109.828654193059587576,115792089237316195423570985008687907853269984665231177485993775772423044926154,115792089237316195423570985008687907782512016482467521682006787327798340602482,100179#12927705,25470213610719793,0x1b964337eca0dc6de9b1d13916e13e95f607df9e,0,0,499385.3623411518540494969008998926,471897.2004010954284623042399238263,497601.2227601784614084859433635971,0.02008403,0.383383527494863392,0.02008403,202.831478603276059908,5.51524652,109.828654193059587576,115792089237316195423570985008687907853269984665258009784497427259423566106616,115792089237316195423570985008687907787634025122377158425590659869423903836836,100179,0,0x1b964337eca0dc6de9b1d13916e13e95f607df9e,258180,258570,0,202.448095075781196516,36547457665268416597696647420520,5554361403704311178988676838104600177158650,12927705,,,,,,,,,,25470213610719793,5.51524652,109.828654193059587576,471897.2004010954284623042399238263,0x3847856aa46dde63c4d413e756a409597bc57ad7555964d424986c823882f05e#57983,1627657967
